species,habitat,habitat.names,Standard_length,Raker_Length,Suction_Index
Pomadasys_panamensis,0,non-reef,188.33,6.47,0.13
Pomadasys_macracanthus,0,non-reef,213,4.8,0.19
Anisotremus_moricandi,1,reef,127,3.1,0.4
Anisotremus_virginicus,1,reef,210,3.8,0.58
Anisotremus_caesius,1,reef,158,2.35,0.43
Anisotremus_surinamensis,1,reef,157,5.4,0.44
Anisotremus_interruptus,1,reef,172.67,3.47,0.37
Anisotremus_davidsonii,1,reef,240,5.1,0.41
Anisotremus_scapularis,1,reef,178,4,0.38
Anisotremus_dovii,0,non-reef,175.67,3.13,0.5
Anisotremus_pacifici,0,non-reef,139,2.5,0.82
Haemulon_chrysargyreum,1,reef,126.5,2.5,0.1
Haemulon_parra,1,reef,263,4.7,0.09
Haemulon_sexfasciatum,1,reef,207,4.25,0.38
Haemulon_scudderi,1,reef,203,3.7,0.44
Haemulon_scudderi_N.sp,1,reef,193,3.7,0.43
Haemulon_melanurum,1,reef,153,2.9,0.1
Haemulon_album,1,reef,209,2.85,0.15
Haemulon_maculicauda,1,reef,175.67,3.23,0.12
Haemulon_flaviguttatum,1,reef,233.5,6.3,0.21
Haemulon_steindachneri_Atlantic,1,reef,35,2.2,0.1
Haemulon_steindachneri_Pacific,1,reef,179.67,3.23,0.11
Haemulon_boschmae,1,reef,79,3.77,0.1
Haemulon_carbonarium,1,reef,121.5,2.85,0.21
Haemulon_macrsotomum,1,reef,195.33,4.4,0.21
Haemulon_flavolineatum,1,reef,139,2.1,0.13
Haemulon_plumieri,1,reef,192.33,3.63,0.25
Haemulon_sciurus,1,reef,193.5,4.1,0.09
Haemulon_striatum,1,reef,129.5,3.3,0.13
Inermia_vittata,1,reef,162.67,5.13,0.18
Haemulon_atlahua_N.sp,1,reef,202.33,3.1,0.1
Haemulon_aurolineatum,1,reef,161,2.65,0.08
Xenistius_californiensis,1,reef,134.33,6,0.09
Pomadasys_branickii,0,non-reef,185.5,3.55,0.1
Pomadasys_crocro,0,non-reef,207,5.2,0.06
Haemulopsis_axillaris,0,non-reef,165.67,4.4,0.24
Haemulopsis_elongatus,0,non-reef,197,3.9,0.21
Haemulopsis_leuciscus,0,non-reef,217,4.2,0.08
Pomadasys_corvinaeformis,0,non-reef,144.5,3.6,0.1
Haemulopsis_nitidus,0,non-reef,143,2.6,0.15
Conodon_nobilis,0,non-reef,196.5,4,0.06
Conodon_serrifer,0,non-reef,179.5,4.7,0.06
Xenichthys_xantii,0,non-reef,164,7.47,0.14
Orthopristis_chrysoptera,0,non-reef,209.33,3.03,0.13
Orthopristis_chalceus,0,non-reef,191.67,3.4,0.22
Orthopristis_reddingi,0,non-reef,196.33,3.2,0.2
Orthopristis_ruber,0,non-reef,209,3.55,0.21
Isacia_conceptionis,1,reef,182.67,6,0.12
Microlepidotus_brevipinnis,1,reef,192,4.7,0.78
Microlepidotus_inornatus,1,reef,243.5,5.65,0.08
